"id","state_id","name","created_at","updated_at"
1063,3642,"El Tío",,
1064,3642,"Elena",,
1066,3642,"Embalse",,
1073,3642,"Etruria",,
1096,3642,"General Baldissera",,
1097,3642,"General Cabrera",,
1106,3642,"General Levalle",,
1111,3642,"General Roca",,
1129,3642,"Guatimozín",,
1136,3642,"Hernando",,
1143,3642,"Huanchillas",,
1144,3642,"Huerta Grande",,
1146,3642,"Huinca Renancó",,
1150,3642,"Idiazábal",,
1156,3642,"Inriville",,
1159,3642,"Isla Verde",,
1160,3642,"Italó",,
1165,3642,"James Craik",,
1167,3642,"Jesús María",,
1173,3642,"Justiniano Posse",,
1178,3642,"La Calera",,
1179,3642,"La Carlota",,
1180,3642,"La Cesira",,
1185,3642,"La Cumbre",,
1188,3642,"La Falda",,
1189,3642,"La Francia",,
1190,3642,"La Granja",,
1194,3642,"La Para",,
1196,3642,"La Playosa",,
1204,3642,"Laborde",,
1205,3642,"Laboulaye",,
1207,3642,"Laguna Larga",,
1215,3642,"Las Acequias",,
1221,3642,"Las Higueras",,
1222,3642,"Las Junturas",,
1228,3642,"Las Perdices",,
1232,3642,"Las Varas",,
1233,3642,"Las Varillas",,
1234,3642,"Leones",,
1246,3642,"Los Cocos",,
1248,3642,"Los Cóndores",,
1254,3642,"Los Surgentes",,
1266,3642,"Malagueño",,
1267,3642,"Malvinas Argentinas",,
1269,3642,"Marcos Juárez",,
1273,3642,"Marull",,
1274,3642,"Mattaldi",,
1277,3642,"Mendiolaza",,
1282,3642,"Mina Clavero",,
1283,3642,"Miramar",,
1286,3642,"Monte Buey",,
1288,3642,"Monte Cristo",,
1289,3642,"Monte Maíz",,
1292,3642,"Morrison",,
1293,3642,"Morteros",,
1299,3642,"Noetinger",,
1305,3642,"Obispo Trejo",,
1306,3642,"Oliva",,
1307,3642,"Oncativo",,
1308,3642,"Ordóñez",,
1321,3642,"Pascanas",,
1322,3642,"Pasco",,
1333,3642,"Pilar",,
1335,3642,"Piquillín",,
1341,3642,"Porteña",,
